createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2017-10-16,406893292,∮星￠草∮,0,1480298267,JOJO的奇妙冒险OPED合集（新增五部OPED2）,7803343
2020-09-25,1562596275,风筝从云里来,0,7726401548,粤语经典丨时光沉淀的旋律,7124540
2019-11-09,3451226023,斤,0,4240872267,「王者战歌」上分必备的超燃电音,16652619
2020-08-18,1825869086,麻辣烫不要麻不要辣,0,7682122587,白小白：不念过往，不问归期,2509817
2020-07-10,1810637814,颜。,0,7633087213,【伤感歌单】听着听着就哭了,4935978
2020-05-21,498877906,狗贼,0,7572021700,站内收藏999+的两百首古风集,11988563
2017-08-10,2845491591,一点绿,2,1169467887,「80后记忆」那些年少时光的华语经典,66005538
2020-08-06,3054828396,ㅤ,0,7666338940,粤语经典：一起走过的友情岁月,10249130
2017-01-02,745468154,CAI,1,1971999922,睡前舒心纯音乐哄君入眠,24735254
2020-03-19,2241889895,周森,0,7482171878,DJ舞曲 · 就问你上头不上头,9677775
2020-07-20,1152921504793276628,越夜粤冷,0,7644627036,90后粤语：越成长越懂歌词,2704403
2016-10-20,449218160,933。,2,771161642,100首经典粤语 回不去的青春,81544706
2018-03-22,1214673117,小攀哟,2,3790000614,欧美精选：动感节奏，治瘾旋律,26777622
2020-03-10,2366812118,幸福的小麻花,2,7467921346,最懂你的心：免费下载这些情歌,17573823
2020-02-06,2394516058,𝓐𝓾𝓻𝓸𝓻𝓪🌌,0,7414316444,『极致欧美神曲』为生活注入色彩,2280061
2020-03-08,2060774762,考官001,0,6960007429,『原耽』晋江同人猫耳FM广播剧,1229121
2020-09-12,847303805,北星.,0,7713265613,人气爆棚 | 入耳即沦陷的温柔音,1922294
2020-07-12,2779690389,暮岁十三,0,7635706958,等君归兮 | 等什么君的神仙嗓音,17501680
2020-08-19,2937505134,准点星辰.,0,7456827936,古风院：恰似惊鸿落人间.,2684844
2020-11-14,3510023506,仄言．,0,7780457991,伤感翻唱：只是一厢情愿罢了,448538
2020-06-08,1540287390,大众流行带你飞,0,7593039384,海来阿木：999+评论里都是故事,8206559
2020-07-05,972508083,看好你的电动车,0,4216387623,华语流行音乐8090KTV必点金曲,7405331
2020-10-15,2235903855,Monotone,0,7749234780,伤感片段｜失去笑意成为一人,1207472
2020-09-03,2792808460,诗萱,0,7703132678,甜到爆表：专属你的小甜心,6328291
