,createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
254,2019-04-21,1757456989,Someone,2,6946005790,王者荣耀 | carry全场首选BGM,135629780
255,2020-09-20,1152921505036041771,玖九9丶,0,7719937962,【精选50首老歌】岁月留声忆往昔,2113011
256,2020-03-25,467578052,咸鱼大饼干,2,7490861394,热歌车载DJ：出行路上一键解乏,80431426
257,2020-06-27,354284502,此号被盗,0,7616560475,中文嗨曲：跟着音乐的节奏摇起来,40295962
258,2020-09-17,1666326482,薄许烟一缕.,0,7712581538,超燃电音：享受节奏的冲击吧！,1263075
259,2020-10-04,3427724427,北川同学,0,7736297511,伤感华语 | 对于你我只抱遗憾,2812785
260,2020-09-11,995702579,星空,0,7710999871,[孙露] 伤感情歌的诉说者,3320390
261,2020-09-09,507265898,我才不是小坨,0,7709931707,华语女声：穿透灵魂的动人嗓音,3906364
262,2020-08-23,2747980541,♡,0,7683607910,温柔rap: 似你在耳边喃喃低语,907094
263,2017-07-07,1152921504715016798,Hy.,0,3268977825,欧美经典流行歌,4123175
264,2015-06-01,417476359,小狐狸。,2,3463209980,跑步必备 运动节奏,15843898
265,2017-07-12,3399378944,晴朗天空,2,2065383091,「华语」总有那么一首情歌，让你流泪,18016823
266,2020-01-31,2024699515,无人之岛,0,2285348862,DJ舞曲专场～网红歌曲Dj专场,51011367
267,2020-11-15,775916156,安好,0,7780915888,80情怀：一次的倾心，一生的回忆,1342595
268,2020-04-03,2991257536,息を止めないでください,0,7506935543,·【极丧】细节中崩溃_,1259522
269,2020-02-19,3138960748,Lemon.,0,4379305352,华语男声：道不完的思念和遗憾,17054509
270,2017-08-10,3533352426,少年放肆的梦,2,2671455190,「华语经典」光阴的故事,41370949
271,2020-04-29,2383216505,就是爱音乐,0,7543186096,古风 · 看长安繁华，愿等将军归,4487788
